transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour_of_day,day_of_week,risk_label,historical_avg_amount,amount_deviation,hour,day_of_week_num,day,month,is_weekend,is_night,sender_avg_amount,sender_transaction_count,amount_vs_sender_avg,sender_unique_receivers,is_high_amount,isolation_forest_prediction,isolation_forest_anomaly,isolation_forest_score,iqr_outlier,hour_timestamp,time_series_anomaly,fraud_risk_score,risk_category,fraud_alert
TXN000001,2026-09-18 00:00:00,USER0655,MERCHANT0173,297.89,Utilities,Bill Payment,Pune,Android,PhonePe,0,Thursday,1,327.78,-29.89,0,4,18,9,0,1,327.78,2,0.9088107877234732,2,0,1,0,0.1130392012193002,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000149,2026-09-18 00:00:00,USER0406,MERCHANT0292,305.5,Utilities,P2M,Hyderanbad,Android,BHIM,16,Tuesday,0,170.93,134.57,0,4,18,9,0,1,170.93,2,1.7872813432399226,2,0,1,0,0.1057130790278275,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000186,2026-09-18 00:00:00,USER0395,MERCHANT0331,370.18,Entertainment,Recharge,Bangalore,Web,PhonePe,8,Tuesday,0,196.39,173.79,0,4,18,9,0,1,370.18,1,1.0,1,0,1,0,0.1408156710826016,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000223,2026-09-18 00:00:00,USER0520,MERCHANT0275,360.06,Utilities,Recharge,Bangalore,Web,Paytm,0,Tuesday,1,211.15,148.91,0,4,18,9,0,1,360.06,1,1.0,1,0,1,0,0.1400419170316127,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000260,2026-09-18 00:00:00,USER0581,MERCHANT0327,393.32,Utilities,P2P,Pune,Android,Google Pay,16,Monday,0,531.62,-138.3,0,4,18,9,0,1,393.32,1,1.0,1,0,1,0,0.135448891366107,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000297,2026-09-18 00:00:00,USER0449,MERCHANT0128,445.68,Grocery,Bill Payment,Mumbai,ios,BHIM,8,Monday,0,259.41,186.27,0,4,18,9,0,1,259.41,2,1.7180525037585288,2,0,1,0,0.106352005687175,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000334,2026-09-18 00:00:00,USER0904,MERCHANT0123,92.1,Food,Recharge,Delhi,Android,Paytm,0,Monday,1,92.1,0.0,0,4,18,9,0,1,92.1,1,1.0,1,0,1,0,0.1746246557263642,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000371,2026-09-18 00:00:00,USER0144,MERCHANT0332,185.77,Utilities,P2M,Mumbai,ios,BHIM,16,Sunday,0,185.77,0.0,0,4,18,9,0,1,185.77,1,1.0,1,0,1,0,0.1674422868223746,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000408,2026-09-18 00:00:00,USER0003,MERCHANT0310,157.22,Healthcare,P2P,Pune,ios,Google Pay,8,Sunday,0,157.22,0.0,0,4,18,9,0,1,157.22,1,1.0,1,0,1,0,0.1714179120822959,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000445,2026-09-18 00:00:00,USER0162,MERCHANT0179,49.18,Travel,P2P,Chennai,ios,Google Pay,0,Sunday,1,170.91,-121.73,0,4,18,9,0,1,170.91333333333333,3,0.2877481764637048,3,0,1,0,0.0117906499393999,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000482,2026-09-18 00:00:00,USER0272,MERCHANT0212,69.72,Entertainment,P2P,Hyderanbad,ios,BHIM,16,Saturday,0,148.86,-79.14,0,4,18,9,0,1,69.72,1,1.0,1,0,1,0,0.1668597100068618,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000519,2026-09-18 00:00:00,USER0627,MERCHANT0116,200.2,Shopping,Recharge,Chennai,Web,Google Pay,8,Saturday,0,200.2,0.0,0,4,18,9,0,1,200.2,1,1.0,1,0,1,0,0.1625914694177337,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000556,2026-09-18 00:00:00,USER0930,MERCHANT0405,120.08,Grocery,P2M,Pune,Web,PhonePe,0,Saturday,1,120.08,0.0,0,4,18,9,0,1,120.08,1,1.0,1,0,1,0,0.1779466663256189,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000593,2026-09-18 00:00:00,USER0441,MERCHANT0197,292.65,Healthcare,Recharge,Hyderanbad,Web,Paytm,16,Friday,0,316.91,-24.26,0,4,18,9,0,1,316.915,2,0.9234337282867646,2,0,1,0,0.1148672764338748,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000630,2026-09-18 00:00:00,USER0903,MERCHANT0370,541.42,Shopping,Recharge,Pune,Web,PhonePe,8,Friday,0,320.83,220.59,0,4,18,9,0,1,320.83,2,1.687560390237821,2,0,1,0,0.099076345079623,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000667,2026-09-18 00:00:00,USER0229,MERCHANT0121,140.47,Utilities,P2P,Pune,Web,PhonePe,0,Friday,1,509.92,-369.45,0,4,18,9,0,1,140.47,1,1.0,1,0,1,0,0.1754155534517545,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000704,2026-09-18 00:00:00,USER0322,MERCHANT0088,44.32,Food,Recharge,Chennai,Web,BHIM,16,Thursday,0,257.26,-212.94,0,4,18,9,0,1,264.95666666666665,3,0.1672726357769195,3,0,1,0,0.0030281039317513,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000741,2026-09-18 00:00:00,USER0738,MERCHANT0218,28.76,Shopping,P2P,Bangalore,Web,BHIM,8,Thursday,0,28.76,0.0,0,4,18,9,0,1,28.76,1,1.0,1,0,1,0,0.132373520179214,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000778,2026-09-18 00:00:00,USER0330,MERCHANT0463,141.53,Shopping,P2M,Mumbai,Android,PhonePe,0,Thursday,1,141.53,0.0,0,4,18,9,0,1,141.53,1,1.0,1,0,1,0,0.174309647581057,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000815,2026-09-18 00:00:00,USER0626,MERCHANT0466,508.69,Utilities,P2P,Bangalore,Android,BHIM,16,Wednesday,0,508.69,0.0,0,4,18,9,0,1,508.69,1,1.0,1,0,1,0,0.09824731871707,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000852,2026-09-18 00:00:00,USER0256,MERCHANT0495,104.01,Healthcare,P2P,Pune,ios,Google Pay,8,Wednesday,0,80.12,23.89,0,4,18,9,0,1,104.01,1,1.0,1,0,1,0,0.1797630110301891,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000889,2026-09-18 00:00:00,USER0653,MERCHANT0453,327.23,Entertainment,Bill Payment,Bangalore,Web,Paytm,0,Wednesday,1,177.58,149.65,0,4,18,9,0,1,177.57500000000002,2,1.8427706602843867,2,0,1,0,0.0924514298469392,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000926,2026-09-18 00:00:00,USER0853,MERCHANT0485,39.52,Shopping,Recharge,Bangalore,ios,BHIM,16,Tuesday,0,39.52,0.0,0,4,18,9,0,1,39.52,1,1.0,1,0,1,0,0.1468039695426768,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000963,2026-09-18 00:00:00,USER0447,MERCHANT0142,220.64,Shopping,P2P,Hyderanbad,Web,BHIM,8,Tuesday,0,268.41,-47.77,0,4,18,9,0,1,129.43,2,1.7047052460789611,2,0,1,0,0.1085307546001733,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000112,2026-09-18 00:00:00,USER0176,MERCHANT0326,176.53,Shopping,Bill Payment,Hyderanbad,Web,BHIM,0,Wednesday,1,176.53,0.0,0,4,18,9,0,1,176.53,1,1.0,1,0,1,0,0.1691507025146847,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000075,2026-09-18 00:00:00,USER0634,MERCHANT0039,13.2,Utilities,Recharge,Bangalore,ios,PhonePe,8,Wednesday,0,13.2,0.0,0,4,18,9,0,1,13.2,1,1.0,1,0,1,0,0.1158358843486486,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN001000,2026-09-18 00:00:00,USER0335,MERCHANT0404,321.37,Food,Recharge,Delhi,Web,BHIM,0,Tuesday,1,203.27,118.1,0,4,18,9,0,1,203.27,2,1.5810006395434644,2,0,1,0,0.1159252548567205,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000038,2026-09-18 00:00:00,USER0891,MERCHANT0243,25.54,Utilities,Recharge,Pune,ios,Paytm,16,Wednesday,0,25.54,0.0,0,4,18,9,0,1,25.54,1,1.0,1,0,1,0,0.1299974559463297,0,2026-09-18 00:00:00,0,10,Low Risk,No Alert
TXN000220,2026-09-18 01:37:18,USER0513,MERCHANT0162,196.74,Shopping,P2M,Chennai,Android,Paytm,11,Monday,1,196.74,0.0,1,4,18,9,0,1,196.74,1,1.0,1,0,1,0,0.1794518948316201,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000405,2026-09-18 01:37:18,USER0061,MERCHANT0222,115.58,Shopping,Recharge,Mumbai,Web,Paytm,19,Saturday,0,150.35,-34.77,1,4,18,9,0,1,150.35,2,0.768739607582308,2,0,1,0,0.1111783725565612,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000590,2026-09-18 01:37:18,USER0597,MERCHANT0358,77.01,Food,P2M,Bangalore,ios,BHIM,3,Friday,1,77.01,0.0,1,4,18,9,0,1,77.01,1,1.0,1,0,1,0,0.174234259589767,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000479,2026-09-18 01:37:18,USER0734,MERCHANT0446,3939.78,Shopping,P2P,Mumbai,ios,Paytm,3,Saturday,1,2101.86,1837.92,1,4,18,9,0,1,3939.78,1,1.0,1,0,-1,1,-0.1142174648811353,1,2026-09-18 01:00:00,0,70,High Risk,Review Required
TXN000923,2026-09-18 01:37:18,USER0426,MERCHANT0487,207.05,Healthcare,P2P,Bangalore,Web,BHIM,3,Tuesday,1,207.05,0.0,1,4,18,9,0,1,207.05,1,1.0,1,0,1,0,0.1788739558669757,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000257,2026-09-18 01:37:18,USER0060,MERCHANT0358,643.49,Grocery,Recharge,Delhi,Android,PhonePe,3,Monday,1,337.36,306.13,1,4,18,9,0,1,337.36,2,1.9074282665401945,2,0,1,0,0.0734499029234718,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000775,2026-09-18 01:37:18,USER0594,MERCHANT0382,337.58,Healthcare,P2M,Mumbai,Android,Google Pay,11,Wednesday,0,196.55,141.03,1,4,18,9,0,1,337.58,1,1.0,1,0,1,0,0.1637834976441071,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000701,2026-09-18 01:37:18,USER0354,MERCHANT0350,107.48,Food,Recharge,Chennai,Web,PhonePe,3,Thursday,1,107.48,0.0,1,4,18,9,0,1,107.48,1,1.0,1,0,1,0,0.187069101803419,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000738,2026-09-18 01:37:18,USER0680,MERCHANT0154,484.29,Utilities,Recharge,Pune,ios,Paytm,19,Wednesday,0,412.99,71.3,1,4,18,9,0,1,359.66,2,1.346521714953011,2,0,1,0,0.1059944763342818,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000627,2026-09-18 01:37:18,USER0820,MERCHANT0467,67.38,Grocery,P2M,Pune,Android,PhonePe,19,Thursday,0,261.35,-193.97,1,4,18,9,0,1,67.38,1,1.0,1,0,1,0,0.1715377275462956,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000146,2026-09-18 01:37:18,USER0218,MERCHANT0125,396.16,Entertainment,Recharge,Mumbai,Web,Paytm,3,Tuesday,1,396.16,0.0,1,4,18,9,0,1,396.16,1,1.0,1,0,1,0,0.1611450487301389,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000553,2026-09-18 01:37:18,USER0501,MERCHANT0036,582.76,Food,Recharge,Hyderanbad,ios,Paytm,11,Friday,0,347.75,235.01,1,4,18,9,0,1,582.76,1,1.0,1,0,1,0,0.1095061687160872,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
TXN000331,2026-09-18 01:37:18,USER0136,MERCHANT0339,179.07,Shopping,Recharge,Mumbai,Android,Google Pay,11,Sunday,0,248.68,-69.61,1,4,18,9,0,1,248.68,2,0.7200820331349524,2,0,1,0,0.1149831603651235,0,2026-09-18 01:00:00,0,10,Low Risk,No Alert
