transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour_of_day,day_of_week,risk_label,historical_avg_amount,amount_deviation,hour,day_of_week_num,day,month,is_weekend,is_night,sender_avg_amount,sender_transaction_count,amount_vs_sender_avg,sender_unique_receivers,is_high_amount,iqr_outlier,isolation_forest_prediction,isolation_forest_anomaly,isolation_forest_score
TXN000001,2026-09-18 00:00:00,USER0655,MERCHANT0173,297.89,Utilities,Bill Payment,Pune,Android,PhonePe,0,Thursday,1,327.78,-29.89,0,4,18,9,0,1,327.78,2,0.9088107877234732,2,0,0,1,0,0.11303920121930022
TXN000149,2026-09-18 00:00:00,USER0406,MERCHANT0292,305.5,Utilities,P2M,Hyderanbad,Android,BHIM,16,Tuesday,0,170.93,134.57,0,4,18,9,0,1,170.93,2,1.7872813432399226,2,0,0,1,0,0.10571307902782756
TXN000186,2026-09-18 00:00:00,USER0395,MERCHANT0331,370.18,Entertainment,Recharge,Bangalore,Web,PhonePe,8,Tuesday,0,196.39,173.79,0,4,18,9,0,1,370.18,1,1.0,1,0,0,1,0,0.14081567108260162
TXN000223,2026-09-18 00:00:00,USER0520,MERCHANT0275,360.06,Utilities,Recharge,Bangalore,Web,Paytm,0,Tuesday,1,211.15,148.91,0,4,18,9,0,1,360.06,1,1.0,1,0,0,1,0,0.14004191703161278
TXN000260,2026-09-18 00:00:00,USER0581,MERCHANT0327,393.32,Utilities,P2P,Pune,Android,Google Pay,16,Monday,0,531.62,-138.3,0,4,18,9,0,1,393.32,1,1.0,1,0,0,1,0,0.13544889136610705
TXN000297,2026-09-18 00:00:00,USER0449,MERCHANT0128,445.68,Grocery,Bill Payment,Mumbai,ios,BHIM,8,Monday,0,259.41,186.27,0,4,18,9,0,1,259.41,2,1.7180525037585288,2,0,0,1,0,0.10635200568717507
TXN000334,2026-09-18 00:00:00,USER0904,MERCHANT0123,92.1,Food,Recharge,Delhi,Android,Paytm,0,Monday,1,92.1,0.0,0,4,18,9,0,1,92.1,1,1.0,1,0,0,1,0,0.17462465572636426
TXN000371,2026-09-18 00:00:00,USER0144,MERCHANT0332,185.77,Utilities,P2M,Mumbai,ios,BHIM,16,Sunday,0,185.77,0.0,0,4,18,9,0,1,185.77,1,1.0,1,0,0,1,0,0.1674422868223746
TXN000408,2026-09-18 00:00:00,USER0003,MERCHANT0310,157.22,Healthcare,P2P,Pune,ios,Google Pay,8,Sunday,0,157.22,0.0,0,4,18,9,0,1,157.22,1,1.0,1,0,0,1,0,0.17141791208229595
TXN000445,2026-09-18 00:00:00,USER0162,MERCHANT0179,49.18,Travel,P2P,Chennai,ios,Google Pay,0,Sunday,1,170.91,-121.73,0,4,18,9,0,1,170.91333333333333,3,0.2877481764637048,3,0,0,1,0,0.011790649939399933
TXN000482,2026-09-18 00:00:00,USER0272,MERCHANT0212,69.72,Entertainment,P2P,Hyderanbad,ios,BHIM,16,Saturday,0,148.86,-79.14,0,4,18,9,0,1,69.72,1,1.0,1,0,0,1,0,0.16685971000686184
TXN000519,2026-09-18 00:00:00,USER0627,MERCHANT0116,200.2,Shopping,Recharge,Chennai,Web,Google Pay,8,Saturday,0,200.2,0.0,0,4,18,9,0,1,200.2,1,1.0,1,0,0,1,0,0.16259146941773378
TXN000556,2026-09-18 00:00:00,USER0930,MERCHANT0405,120.08,Grocery,P2M,Pune,Web,PhonePe,0,Saturday,1,120.08,0.0,0,4,18,9,0,1,120.08,1,1.0,1,0,0,1,0,0.1779466663256189
TXN000593,2026-09-18 00:00:00,USER0441,MERCHANT0197,292.65,Healthcare,Recharge,Hyderanbad,Web,Paytm,16,Friday,0,316.91,-24.26,0,4,18,9,0,1,316.915,2,0.9234337282867646,2,0,0,1,0,0.11486727643387484
TXN000630,2026-09-18 00:00:00,USER0903,MERCHANT0370,541.42,Shopping,Recharge,Pune,Web,PhonePe,8,Friday,0,320.83,220.59,0,4,18,9,0,1,320.83,2,1.687560390237821,2,0,0,1,0,0.09907634507962304
TXN000667,2026-09-18 00:00:00,USER0229,MERCHANT0121,140.47,Utilities,P2P,Pune,Web,PhonePe,0,Friday,1,509.92,-369.45,0,4,18,9,0,1,140.47,1,1.0,1,0,0,1,0,0.17541555345175452
