transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour_of_day,day_of_week,risk_label,historical_avg_amount,amount_deviation
TXN000001,00:00.0,USER0655,MERCHANT0173,297.89,Utilities,Bill Payment,Pune,Android,PhonePe,0,Thursday,1,327.78,-29.89
TXN000002,19:27.6,USER0115,MERCHANT0390,157.86,Grocery,P2M,Mumbai,ios,Google Pay,4,Thursday,1,390.4,-232.54
TXN000003,38:55.1,USER0026,MERCHANT0451,346.43,Shopping,P2M,Mumbai,Android,BHIM,8,Thursday,0,444.52,-98.09
TXN000004,58:22.7,USER0760,MERCHANT0195,831.33,Healthcare,Bill Payment,Pune,Web,Google Pay,12,Thursday,0,671.85,159.48
TXN000005,17:50.3,USER0282,MERCHANT0143,143.43,Food,P2M,Mumbai,ios,Google Pay,17,Thursday,0,148.4,-4.97
TXN000006,37:17.8,USER0251,MERCHANT0386,143.43,Food,Bill Payment,Hyderanbad,Web,PhonePe,21,Thursday,0,285.6,-142.17
TXN000007,56:45.4,USER0229,MERCHANT0488,879.38,Utilities,Bill Payment,Chennai,Web,Paytm,1,Friday,1,509.92,369.46
TXN000008,16:13.0,USER0143,MERCHANT0426,390.5,Shopping,P2P,Bangalore,Android,Google Pay,6,Friday,0,239.62,150.88
TXN000009,35:40.5,USER0755,MERCHANT0216,113.36,Healthcare,Bill Payment,Delhi,Web,Google Pay,10,Friday,0,127.49,-14.13
TXN000010,55:08.1,USER0105,MERCHANT0130,311.86,Food,P2M,Bangalore,ios,Google Pay,14,Friday,0,217.6,94.26
TXN000011,14:35.7,USER0693,MERCHANT0428,114.04,Grocery,Bill Payment,Delhi,Web,Google Pay,19,Friday,0,114.04,0
TXN000012,34:03.2,USER0759,MERCHANT0042,113.78,Entertainment,P2M,Pune,Android,Paytm,23,Friday,0,113.78,0
TXN000013,53:30.8,USER0914,MERCHANT0241,230.89,Healthcare,Bill Payment,Pune,Android,PhonePe,3,Saturday,1,134.41,96.48
TXN000014,12:58.4,USER0559,MERCHANT0010,26.75,Grocery,P2P,Delhi,ios,Google Pay,8,Saturday,0,119.47,-92.72
TXN000015,32:25.9,USER0090,MERCHANT0384,32.3,Food,P2M,Chennai,Android,BHIM,12,Saturday,0,32.3,0
TXN000016,51:53.5,USER0605,MERCHANT0277,103.31,Grocery,P2M,Mumbai,Web,Paytm,16,Saturday,0,103.31,0
TXN000017,11:21.1,USER0433,MERCHANT0027,65.84,Shopping,P2M,Pune,ios,PhonePe,21,Saturday,0,140.09,-74.25
TXN000018,30:48.6,USER0033,MERCHANT0488,248.2,Healthcare,Bill Payment,Hyderanbad,ios,BHIM,1,Sunday,1,156.67,91.53
TXN000019,50:16.2,USER0031,MERCHANT0180,73.11,Healthcare,P2P,Hyderanbad,ios,BHIM,5,Sunday,0,73.11,0
TXN000020,09:43.8,USER0096,MERCHANT0115,44.15,Food,P2P,Hyderanbad,ios,BHIM,10,Sunday,0,175.79,-131.64
TXN000021,29:11.4,USER0224,MERCHANT0333,784.97,Utilities,P2P,Chennai,ios,Google Pay,14,Sunday,0,784.97,0
TXN000022,48:38.9,USER0239,MERCHANT0036,144.64,Shopping,P2P,Hyderanbad,Web,Google Pay,18,Sunday,0,223.75,-79.11
TXN000023,08:06.5,USER0518,MERCHANT0400,193.94,Grocery,Bill Payment,Delhi,ios,BHIM,23,Sunday,0,174.54,19.4
TXN000024,27:34.1,USER0617,MERCHANT0491,43.61,Food,P2M,Chennai,ios,PhonePe,3,Monday,1,43.61,0
TXN000025,47:01.6,USER0028,MERCHANT0334,105.17,Shopping,Recharge,Mumbai,Android,Google Pay,7,Monday,0,183.29,-78.12
TXN000026,06:29.2,USER0575,MERCHANT0021,202.54,Grocery,P2P,Chennai,ios,PhonePe,12,Monday,0,162.35,40.19
TXN000027,25:56.8,USER0204,MERCHANT0387,57.34,Food,Recharge,Delhi,Android,Google Pay,16,Monday,0,294.47,-237.13
TXN000028,45:24.3,USER0734,MERCHANT0016,263.93,Entertainment,Bill Payment,Pune,Web,Google Pay,20,Monday,0,2101.86,-1837.93
TXN000029,04:51.9,USER0666,MERCHANT0487,99.42,Travel,Bill Payment,Hyderanbad,Web,Google Pay,1,Tuesday,1,179.24,-79.82
TXN000030,24:19.5,USER0719,MERCHANT0127,135.41,Utilities,Recharge,Hyderanbad,Web,PhonePe,5,Tuesday,0,144.52,-9.11
TXN000031,43:47.0,USER0559,MERCHANT0103,99.31,Grocery,P2M,Hyderanbad,Web,Google Pay,9,Tuesday,0,119.47,-20.16
TXN000032,03:14.6,USER0430,MERCHANT0430,1155.49,Entertainment,Recharge,Pune,Android,PhonePe,14,Tuesday,0,468.18,687.31
TXN000033,22:42.2,USER0226,MERCHANT0011,178.84,Grocery,Bill Payment,Chennai,ios,Google Pay,18,Tuesday,0,215.04,-36.2
TXN000034,42:09.7,USER0460,MERCHANT0319,62.95,Travel,Recharge,Bangalore,Android,Paytm,22,Tuesday,0,73.32,-10.37
TXN000035,01:37.3,USER0604,MERCHANT0079,412.63,Travel,P2P,Delhi,Web,Google Pay,3,Wednesday,1,412.63,0
TXN000036,21:04.9,USER0285,MERCHANT0123,53.47,Healthcare,P2P,Chennai,Android,BHIM,7,Wednesday,0,90.78,-37.31
TXN000037,40:32.4,USER0829,MERCHANT0065,223.38,Shopping,P2M,Mumbai,Web,PhonePe,11,Wednesday,0,223.38,0
