transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour_of_day,day_of_week,risk_label,historical_avg_amount,amount_deviation,hour,day_of_week_num,day,month,is_weekend,is_night,sender_avg_amount,sender_transaction_count,amount_vs_sender_avg,sender_unique_receivers,is_high_amount,isolation_forest_prediction,isolation_forest_anomaly,isolation_forest_score,iqr_outlier,hour_timestamp,time_series_anomaly,fraud_risk_score,risk_category,fraud_alert
TXN000479,2026-09-18 01:37:18,USER0734,MERCHANT0446,3939.78,Shopping,P2P,Mumbai,ios,Paytm,3,Saturday,1,2101.86,1837.92,1,4,18,9,0,1,3939.78,1,1.0,1,0,-1,1,-0.1142174648811353,1,2026-09-18 01:00:00,0,70,High Risk,Review Required
TXN000584,2026-09-18 04:51:54,USER0926,MERCHANT0194,1755.82,Shopping,P2M,Bangalore,ios,Paytm,1,Thursday,1,1755.82,0.0,4,4,18,9,0,1,1755.82,1,1.0,1,0,-1,1,-0.0296097619567604,1,2026-09-18 04:00:00,0,70,High Risk,Review Required
TXN000180,2026-09-18 03:14:36,USER0164,MERCHANT0251,2752.24,Entertainment,P2M,Pune,Web,BHIM,6,Monday,0,993.21,1759.03,3,4,18,9,0,1,1483.6999999999998,2,1.854984161218576,2,0,-1,1,-0.0661563299208849,1,2026-09-18 03:00:00,0,70,High Risk,Review Required
TXN000708,2026-09-18 17:50:18,USER0119,MERCHANT0446,1048.16,Utilities,P2M,Hyderanbad,Web,Paytm,9,Friday,0,503.89,544.27,17,4,18,9,0,0,503.8933333333334,3,2.0801227773073667,3,0,-1,1,-0.0311579598150507,1,2026-09-18 17:00:00,0,60,Medium Risk,No Alert
TXN000655,2026-09-18 06:29:12,USER0482,MERCHANT0489,2376.44,Travel,Recharge,Delhi,ios,Paytm,20,Tuesday,0,2376.44,0.0,6,4,18,9,0,0,2376.44,1,1.0,1,0,-1,1,-0.0370612485208872,1,2026-09-18 06:00:00,0,60,Medium Risk,No Alert
TXN000615,2026-09-18 08:06:30,USER0896,MERCHANT0065,2091.74,Travel,Bill Payment,Chennai,Android,PhonePe,15,Tuesday,0,1262.71,829.03,8,4,18,9,0,0,2091.74,1,1.0,1,0,-1,1,-0.0105075971792263,1,2026-09-18 08:00:00,0,60,Medium Risk,No Alert
TXN000763,2026-09-18 08:06:30,USER0631,MERCHANT0203,2345.1,Travel,P2P,Chennai,ios,Paytm,7,Monday,0,2345.1,0.0,8,4,18,9,0,0,2345.1,1,1.0,1,0,-1,1,-0.0273856040995058,1,2026-09-18 08:00:00,0,60,Medium Risk,No Alert
TXN000544,2026-09-18 06:29:12,USER0216,MERCHANT0197,766.3,Travel,P2M,Bangalore,Web,PhonePe,20,Wednesday,0,684.59,81.71,6,4,18,9,0,0,684.5866666666667,3,1.119361561234029,3,0,-1,1,-0.0046408067610702,1,2026-09-18 06:00:00,0,60,Medium Risk,No Alert
TXN000221,2026-09-18 21:04:54,USER0781,MERCHANT0062,1834.74,Healthcare,P2P,Hyderanbad,Web,Paytm,15,Monday,0,1088.22,746.52,21,4,18,9,0,0,1088.22,2,1.6860009924463804,2,0,-1,1,-0.0343858561983794,1,2026-09-18 21:00:00,0,60,Medium Risk,No Alert
TXN000606,2026-09-18 12:58:24,USER0216,MERCHANT0198,1184.17,Healthcare,Bill Payment,Mumbai,Web,Google Pay,0,Monday,1,684.59,499.58,12,4,18,9,0,0,684.5866666666667,3,1.7297590760361483,3,0,-1,1,-0.0198935055148182,1,2026-09-18 12:00:00,0,60,Medium Risk,No Alert
TXN000624,2026-09-18 03:14:36,USER0886,MERCHANT0226,696.05,Shopping,P2P,Mumbai,Android,Paytm,6,Thursday,0,306.88,389.17,3,4,18,9,0,1,306.8766666666666,3,2.2681750540390824,3,0,-1,1,-0.0087053932377011,0,2026-09-18 03:00:00,0,45,Medium Risk,No Alert
